,numadults,numadults_value
0,2.0,-0.34550588214983446
1,1.0,0.6179352687992956
2,3.0,0.8783279913071959
3,4.0,0.6796176456618552
4,5.0,0.629972438795455
5,6.0,0.6231444520385079
6,11.0,0.618119810931223
