,license,license_value
0,"Yes, has an intermediate or unrestricted license",-0.21529068598963796
1,Unknown,1.1868888994305837
2,"No, does not have a license or permit",0.5757396819073773
3,"Yes, has a learner’s permit",0.6034451143258523
