,vehicle_count,vehicle_count_value
0,2 vehicles,0.7250798080570259
1,1 vehicle,-0.6889414116904187
2,0 (no vehicles),0.027885332771399252
3,3 vehicles,0.036519653303435116
4,4 vehicles,0.02996616877216954
5,5 vehicles,0.02848996965769768
6,8+ vehicles,0.027942553921545703
7,7 vehicles,0.02794776749128974
8,6 vehicles,0.0280524489743422
