,education,education_value
0,Graduate/post-graduate degree,0.7112592883641095
1,Some college,0.1284287829605443
2,Unknown,0.1410503250966491
3,Bachelor degree,-0.6911466442425465
4,Vocational/technical training,0.0917675657813077
5,Associates degree,0.08410358289544881
6,High school graduate,0.1036968138819478
7,Less than high school,0.08764198341462148
