,TRACT,centroid_x,centroid_y
0,530330003001,-122.32830213260868,47.73034564565217
1,530330003002,-122.3409564972973,47.73183904864865
2,530330004021,-122.35550136,47.72218610666666
3,530330004022,-122.34838987391304,47.7161527173913
4,530330004023,-122.3559270736842,47.71409350526316
5,530330004024,-122.35608373,47.71824503
6,530330005001,-122.3697286457143,47.72342426857143
7,530330005002,-122.3635541,47.72056375238096
8,530330007001,-122.29486146153846,47.71731764615385
9,530330007002,-122.29679673043478,47.71431833478261
10,530330007003,-122.30783465454546,47.7175287
11,530330007004,-122.30769002222225,47.71400249444444
12,530330008001,-122.28656300526316,47.715812552631576
13,530330008002,-122.28557042173912,47.70867319130435
14,530330009001,-122.27917126363636,47.71176183181819
15,530330009002,-122.2749668875,47.703233928125
16,530330010001,-122.29606603076924,47.70982773846154
17,530330010002,-122.297160875,47.70417335833333
18,530330011001,-122.30580852608696,47.70892396086957
19,530330011002,-122.307295475,47.704332325
20,530330013001,-122.33748706538462,47.70261940384615
21,530330013002,-122.3460430875,47.70479749375
22,530330013003,-122.34529508076922,47.70026070769231
23,530330014001,-122.3558591736842,47.71056058947369
24,530330014002,-122.35788985833334,47.7071599875
25,530330014003,-122.36401930714284,47.70266098571428
26,530330014004,-122.37214825384616,47.70360228846153
27,530330015001,-122.390588532,47.697168132
28,530330015002,-122.3981093826087,47.69545083043479
29,530330016001,-122.37949005555556,47.70410457777778
30,530330016002,-122.38434440384616,47.69693293076924
31,530330016003,-122.37799907142856,47.6933105
32,530330017011,-122.35756904736844,47.69223924736842
33,530330017012,-122.3523620882353,47.69596506470588
34,530330017013,-122.35248181904764,47.70244284761905
35,530330017021,-122.35735176842104,47.69901435263158
36,530330017022,-122.36776529411766,47.692291147058825
37,530330017023,-122.36875810714288,47.69620767142857
38,530330017024,-122.36200082222224,47.69826530555556
39,530330018001,-122.3371956,47.6942016368421
40,530330018002,-122.34440590588235,47.69224175882353
41,530330018003,-122.3462907473684,47.69524287894737
42,530330019001,-122.32834486666668,47.69992853888888
43,530330019002,-122.32032817,47.69493733
44,530330019003,-122.32832690454546,47.69305500454546
45,530330020001,-122.30890769032258,47.69439716451613
46,530330020002,-122.31388083125,47.69925286875
47,530330020003,-122.31393293076924,47.694652192307686
48,530330021001,-122.29356969615384,47.69552325769231
49,530330021002,-122.30150921764708,47.69725557647059
50,530330021003,-122.30135660555555,47.6926536
51,530330022001,-122.2834188,47.7016395137931
52,530330022002,-122.28713921875,47.69566299375
53,530330022003,-122.27898554814816,47.69357001481481
54,530330022004,-122.27279331612904,47.68743654193548
55,530330024001,-122.28494146666668,47.68808302857143
56,530330024002,-122.28465439,47.68448857
57,530330025001,-122.30233452941177,47.68677539117647
58,530330025002,-122.3034994111111,47.67947362222222
59,530330026001,-122.30971454210524,47.68779648947368
60,530330026002,-122.31169227083336,47.681787175
