,o_tract10,d_tract10
13040,53033027500,53033027900
13050,53033027600,53033010800
13068,53033027701,53033027702
13075,53033027702,53033027701
13076,53033027800,53033011402
13125,53033027900,53033028000
13163,53033028000,53033027900
13180,53033028100,53033026200
13203,53033028200,53033026200
13214,53033028300,53033009100
13271,53033028402,53033009300
13357,53033028403,53033025101
13382,53033028500,53033011300
13400,53033028600,53033028000
13413,53033028700,53033027900
13439,53033028801,53033028902
13462,53033028802,53033026200
13493,53033028901,53033029003
13498,53033028902,53033004900
13524,53033029001,53033029003
13550,53033029003,53033030003
13563,53033029004,53033029003
13579,53033029101,53033030600
13580,53033029102,53033008100
13602,53033029203,53033029503
13617,53033029204,53033029206
13627,53033029205,53033029206
13673,53033029206,53033026200
13717,53033029303,53033025803
13735,53033029304,53033007300
13746,53033029305,53033025805
13754,53033029306,53033029303
13763,53033029307,53033031909
13765,53033029403,53033023700
13783,53033029405,53033026200
13790,53033029406,53033029502
13801,53033029407,53033029403
13810,53033029408,53033025302
13844,53033029502,53033031706
13875,53033029503,53033029504
13901,53033029504,53033029503
13917,53033029601,53033029503
13933,53033029602,53033030700
13966,53033029700,53033029801
13978,53033029801,53033007300
14017,53033029802,53033030006
14032,53033029901,53033030313
14040,53033029902,53033030501
14056,53033030003,53033030004
14076,53033030004,53033030003
14088,53033030005,53033029802
14121,53033030006,53033029802
14142,53033030100,53033028901
14151,53033030201,53033030202
14163,53033030202,53033030006
14195,53033030304,53033030404
14212,53033030305,53033030313
14221,53033030306,53033030305
14228,53033030308,53033010100
14245,53033030309,53033030304
14261,53033030310,53033030306
14269,53033030311,53033030305
14276,53033030312,53033030006
14303,53033030313,53033030304
14325,53033030314,53033030006
14341,53033030401,53033010300
14360,53033030403,53033030304
14368,53033030404,53033030304
14390,53033030501,53033029902
14413,53033030503,53033029203
14426,53033030504,53033031100
14436,53033030600,53033029602
14461,53033030700,53033031100
14493,53033030801,53033031100
14500,53033030802,53033030801
14507,53033030901,53033030801
14512,53033030902,53033030700
14520,53033031000,53033031100
14536,53033031100,53033030801
14543,53033031202,53033011800
14552,53033031204,53033004400
14555,53033031205,53033005100
14581,53033031206,53033031205
14585,53033031301,53033009000
14588,53033031302,53033030600
14600,53033031400,53033031502
14601,53033031501,53033022005
